time,asset,AdrActCnt,CapMrktCurUSD,HashRate,NVTAdj,PriceUSD,SplyCur,TxCnt,TxTfrValAdjUSD,VelCur1yr
2014-01-01 00:00:00+00:00,btc,96516,9183089853.00094831805549130906,12034.3221418728,80.46743285,752.404549944594,12204989.79395749,42383,114121819.5724876036331154663,31.619617546538
2014-01-02 00:00:00+00:00,btc,138928,9582996402.34579937176110732564,9425.136247148,63.73945816,784.954921314436,12208339.79395749,55196,150346373.80689401583730395212,31.5322817164557
2014-01-03 00:00:00+00:00,btc,143832,9858101001.48250847627660090443,11352.6079123221,53.52294649,807.222939029807,12212364.79395749,61335,184184572.17806796175154971064,31.4548929122521
2014-01-04 00:00:00+00:00,btc,116229,10122111479.99165124021758185648,9942.34605985975,54.06007375,828.602062618352,12215889.79395749,51901,187238210.70462376934075931888,31.3155905132313
2014-01-05 00:00:00+00:00,btc,134802,11029040879.34003185514619569996,13609.0268762619,52.390463,902.487380263004,12220714.79395749,57487,210516194.13789544370953161576,31.2113623367512
2014-01-06 00:00:00+00:00,btc,179999,11179606610.75680048743734503137,13115.4352279001,49.22083083,914.459960841613,12225364.79395749,68483,227131611.21127199312363264226,31.1899028259718
2014-01-07 00:00:00+00:00,btc,141665,9824823598.10844998826850866786,12480.817394292,66.869797,803.351796198714,12229789.79395749,62183,146924681.08604648445939604014,31.1212912124037
2014-01-08 00:00:00+00:00,btc,146348,10040826131.52113506264393437286,13609.0268762619,59.60514911,820.690009503214,12234614.79395749,60865,168455683.47156471010970531838,30.9975182084675
2014-01-09 00:00:00+00:00,btc,134908,10175362594.37829115820537518066,14596.2101729856,74.69019544,831.334750487434,12239789.79395749,59047,136234247.80833213400766264294,30.906407526093
2014-01-10 00:00:00+00:00,btc,128371,10448187786.86898404008733792647,13185.9483205232,99.80455825,853.298854844603,12244464.79395749,54712,104686478.9573528434635602252,30.8240778178711
2014-01-11 00:00:00+00:00,btc,130495,10896805298.01207977145398664405,14807.7494508549,81.25967683,889.555837119345,12249714.79395749,55926,134098555.6855639036768258701,30.7457919453827
2014-01-12 00:00:00+00:00,btc,115119,10357726631.17553579731694452076,14596.2101729856,99.58535134,845.191332220924,12254889.79395749,49258,104008536.316535561801016251,30.6964362147535
2014-01-13 00:00:00+00:00,btc,153853,10087743753.83846185819221236205,14628.2406711142,71.08199142,822.877012197545,12259114.79395749,54504,141917010.94118535291583364135,30.6547605418482
2014-01-14 00:00:00+00:00,btc,129226,9998079805.51489539986473466136,14411.3355551816,61.342596,815.293602711864,12263164.79395749,55869,162987556.0669880297976760392,30.6088018824057
2014-01-15 00:00:00+00:00,btc,135647,10318292540.72621690613076147135,16368.4305071198,70.82892384,841.089857364115,12267764.79395749,62751,145679081.0969113781743694446,30.4689398640785
2014-01-16 00:00:00+00:00,btc,130689,10012488124.52927271072670300179,16457.3893685716,61.82902015,815.854800298071,12272389.79395749,55602,161938327.68132830974035457347,30.3411393497801
2014-01-17 00:00:00+00:00,btc,128915,9732925495.74589449522624608005,13521.7469406642,68.09086881,792.829506475745,12276189.79395749,59146,142940245.37935217625359359915,30.2182797565394
2014-01-18 00:00:00+00:00,btc,106009,9944578844.47190178923405403114,15478.8418926025,85.76998115,809.783528356386,12280539.79395749,51185,115944747.92726099100753975552,30.106521295956
2014-01-19 00:00:00+00:00,btc,108623,10299896608.66461690816501655677,15034.0475853438,86.92998143,838.428474734073,12284764.79395749,47424,118484974.21388536362526965774,30.0188923707505
2014-01-20 00:00:00+00:00,btc,180527,10186700742.45993256239963104364,17346.977983089,80.95125076,828.885216592636,12289639.79395749,63512,125837471.89989835501883794784,29.980319243553
2014-01-21 00:00:00+00:00,btc,160288,10127844874.99924156199091141869,14767.1710009886,61.38273781,823.817963763881,12293789.79395749,73070,164995000.82409870256513779277,29.9251749910161
2014-01-22 00:00:00+00:00,btc,150333,10072254626.33391329144725381463,17080.1013987337,72.62433475,818.976386323787,12298589.79395749,64796,138689802.2729880756956936663,29.8422085417676
2014-01-23 00:00:00+00:00,btc,149895,9976790593.93571501025177488208,15745.7184769577,76.46160458,810.922425195792,12303014.79395749,62655,130481051.88672645501239068512,29.6846783085541
2014-01-24 00:00:00+00:00,btc,144338,9612868029.72616382128531098594,18340.6657996556,56.4165957,781.042513950906,12307739.79395749,66566,170390785.02374068781886233808,29.6155669878846
2014-01-25 00:00:00+00:00,btc,125411,9903703940.55945983065415620049,17994.3669102041,90.42296705,804.403240800701,12311864.79395749,52913,109526420.82000570515381638965,29.5243415827969
2014-01-26 00:00:00+00:00,btc,125376,10031101355.88135021325381796034,16576.6289112183,77.99240302,814.499381373466,12315664.79395749,53290,128616390.4056640330627094918,29.4441492169634
2014-01-27 00:00:00+00:00,btc,171032,9150091927.13254172222493026973,18975.8778325788,51.44682714,742.701374970777,12320014.79395749,64355,177855320.43471521283701826114,29.3911087441967
2014-01-28 00:00:00+00:00,btc,158602,9738027140.09682464572047115904,16794.7424495238,59.19858212,790.176401876096,12323864.79395749,66013,164497641.52095881165512859008,29.2969470396212
2014-01-29 00:00:00+00:00,btc,142119,9780577243.0299435244086409809,16576.6289112183,76.08714086,793.38442490941,12327664.79395749,59521,128544418.0503784308955167897,29.1386452182676
2014-01-30 00:00:00+00:00,btc,151474,9859171086.45736605251843863397,19193.9913708843,66.32950728,799.474479836353,12332064.79395749,60940,148639293.28310671106422488529,29.038320458663
2014-01-31 00:00:00+00:00,btc,146489,9909273006.11287841607093915908,20066.4455241063,88.14447223,803.237598784921,12336664.79395748,58927,112420810.4594131804415539106,28.9342882261025
2014-02-01 00:00:00+00:00,btc,138630,10036259444.95132538396970226084,20611.7293698701,76.75382833,813.219549216833,12341389.79395748,55715,130759073.04334760047450432958,28.8300260021254
2014-02-02 00:00:00+00:00,btc,132242,10055736698.10249885233935279948,20284.5590624119,90.8716433,814.490870426651,12346039.79395748,51119,110658686.61740701300529107389,28.7566218430069
2014-02-03 00:00:00+00:00,btc,175731,9966874027.67200455461921398188,19739.2752166481,79.03298165,806.997428372531,12350564.79395748,59417,126110312.67900107664128283293,28.6866804532468
2014-02-04 00:00:00+00:00,btc,166548,9884858379.63434555857730889492,18757.7642942733,54.23335894,800.078231893629,12354864.79395748,68066,182265280.51334814075839788554,28.6078387381125
2014-02-05 00:00:00+00:00,btc,156535,9695361198.19581299177314232668,20723.2339086288,33.27958303,784.473692777791,12359064.79395748,67380,291330609.23878917234443142855,28.504147665343
2014-02-06 00:00:00+00:00,btc,162066,9440477710.38409550232939733776,23716.5514349681,72.04598638,763.569382232612,12363614.79395748,69722,131034054.56625777780550120768,28.3985364669243
2014-02-07 00:00:00+00:00,btc,169400,8800350461.68346545209930386644,20198.1619363739,51.12395263,711.571273419053,12367489.79395748,72424,172137520.84400677281589420316,28.3192285043738
2014-02-08 00:00:00+00:00,btc,144461,8384312394.90740959779989856492,23716.5514349681,65.38097268,677.682300941379,12372039.79395748,63163,128237804.53459429693544270307,28.1814440715503
2014-02-09 00:00:00+00:00,btc,130842,8506986612.71322024963759095708,17982.8796594812,77.80517251,687.406054576271,12375489.79395748,57564,109337031.69269615486848829582,28.0867709706768
2014-02-10 00:00:00+00:00,btc,170337,8485545565.29361149456022539624,20328.472658544,48.39330065,685.457498836938,12379389.79395748,65855,175345460.03531898641764096458,28.0367488878143
2014-02-11 00:00:00+00:00,btc,155297,8320462974.6092644745198909952,21370.9584359053,54.22622595,671.89969169024,12383489.79395748,67222,153439831.5346530409368506368,27.9811387070561
2014-02-12 00:00:00+00:00,btc,212833,8098811133.28431814235575051756,23195.3085462874,71.61081861,653.765780911747,12387939.79395748,60833,113094798.95166448767432402133,27.9219256056517
2014-02-13 00:00:00+00:00,btc,167617,7595523910.10382072311154929228,23195.3085462874,75.65307937,612.918414962011,12392389.79395748,69166,100399401.75444601399583162377,27.881732436359
2014-02-14 00:00:00+00:00,btc,175329,8291082519.48744554736654409472,24889.3479344994,66.3373977,668.788602659264,12397164.79395748,73697,124983535.7951504848564428224,27.808816807035
2014-02-15 00:00:00+00:00,btc,151828,8115479465.42532072022526668072,24368.1050458188,72.96180571,654.377060198714,12401839.79395748,61457,111229147.71611703984594161366,27.7812686635451
2014-02-16 00:00:00+00:00,btc,135691,7732488989.65806090902573888864,25486.3744356631,58.3426837,623.250321948568,12406714.79395748,57435,132535709.70438948052315461496,27.7173790324108
2014-02-17 00:00:00+00:00,btc,173737,7835234697.49066164373673407992,24113.6485813296,56.63914407,631.334596306254,12410589.79395748,61436,138336036.4199764688472004491,27.6624526008396
2014-02-18 00:00:00+00:00,btc,154278,7787368652.68850522597490962032,25358.2239919788,58.69162552,627.271761415484,12414664.79395748,64161,132682790.4906998933817194692,27.6010714252029
2014-02-19 00:00:00+00:00,btc,181354,7744159486.4505184754036663004,31114.3852662318,56.49517071,623.54013694623,12419664.79395748,72495,137076486.1655190047411093505,27.5202958365138
2014-02-20 00:00:00+00:00,btc,179241,7004311226.10135961600484217204,27536.2309606151,62.73593033,563.768561098773,12424089.79395748,68604,111647523.02728842705946667805,27.4627030864215
